Area,Age,Sex,Year at 30 June,Value,Flags
"Otago Region","Total people, age","Total people, sex","2009",203300,
"Otago Region","Total people, age","Total people, sex","2010",204600,
"Otago Region","Total people, age","Total people, sex","2011",206600,
"Otago Region","Total people, age","Total people, sex","2012",207400,
"Otago Region","Total people, age","Total people, sex","2013",208800,
"Otago Region","Total people, age","Total people, sex","2014",212500,
"Otago Region","Total people, age","Total people, sex","2015",217400,
"Otago Region","Total people, age","Total people, sex","2016",223100,
"Otago Region","Total people, age","Total people, sex","2017",228800,
"Otago Region","Total people, age","Total people, sex","2018",235000,
"Otago Region","Total people, age","Total people, sex","2019",239400,
"Otago Region","Total people, age","Total people, sex","2020",244600,
"Otago Region","Total people, age","Total people, sex","2021",246700,
"Southland Region","Total people, age","Total people, sex","2000",92700,
"Southland Region","Total people, age","Total people, sex","2001",93300,
"Southland Region","Total people, age","Total people, sex","2002",93500,
"Southland Region","Total people, age","Total people, sex","2003",94100,
"Southland Region","Total people, age","Total people, sex","2004",94100,
"Southland Region","Total people, age","Total people, sex","2005",93700,
"Southland Region","Total people, age","Total people, sex","2006",93200,
"Southland Region","Total people, age","Total people, sex","2007",93100,
"Southland Region","Total people, age","Total people, sex","2008",93300,
"Southland Region","Total people, age","Total people, sex","2009",93900,
"Southland Region","Total people, age","Total people, sex","2010",94700,
"Southland Region","Total people, age","Total people, sex","2011",95700,
"Southland Region","Total people, age","Total people, sex","2012",95900,
"Southland Region","Total people, age","Total people, sex","2013",96000,
"Southland Region","Total people, age","Total people, sex","2014",96800,
"Southland Region","Total people, age","Total people, sex","2015",97700,
"Southland Region","Total people, age","Total people, sex","2016",99000,
"Southland Region","Total people, age","Total people, sex","2017",99900,
"Southland Region","Total people, age","Total people, sex","2018",100500,
"Southland Region","Total people, age","Total people, sex","2019",101600,
"Southland Region","Total people, age","Total people, sex","2020",102800,
"Southland Region","Total people, age","Total people, sex","2021",102700,
"Area outside Region","Total people, age","Total people, sex","2000",760,
"Area outside Region","Total people, age","Total people, sex","2001",760,
"Area outside Region","Total people, age","Total people, sex","2002",730,
"Area outside Region","Total people, age","Total people, sex","2003",720,
"Area outside Region","Total people, age","Total people, sex","2004",700,
"Area outside Region","Total people, age","Total people, sex","2005",680,
"Area outside Region","Total people, age","Total people, sex","2006",650,
"Area outside Region","Total people, age","Total people, sex","2007",650,
"Area outside Region","Total people, age","Total people, sex","2008",650,
"Area outside Region","Total people, age","Total people, sex","2009",650,
"Area outside Region","Total people, age","Total people, sex","2010",640,
"Area outside Region","Total people, age","Total people, sex","2011",640,
"Area outside Region","Total people, age","Total people, sex","2012",610,
"Area outside Region","Total people, age","Total people, sex","2013",600,
"Area outside Region","Total people, age","Total people, sex","2014",610,
"Area outside Region","Total people, age","Total people, sex","2015",620,
"Area outside Region","Total people, age","Total people, sex","2016",640,
"Area outside Region","Total people, age","Total people, sex","2017",660,
"Area outside Region","Total people, age","Total people, sex","2018",690,
"Area outside Region","Total people, age","Total people, sex","2019",710,
"Area outside Region","Total people, age","Total people, sex","2020",750,
"Area outside Region","Total people, age","Total people, sex","2021",780,
"Total, North Island Regions","Total people, age","Total people, sex","2000",2926400,
"Total, North Island Regions","Total people, age","Total people, sex","2001",2944300,
"Total, North Island Regions","Total people, age","Total people, sex","2002",2999500,
"Total, North Island Regions","Total people, age","Total people, sex","2003",3062500,
